stemmed,tokenized
studi,study
of,of
the,the
decay,decays
\psi,\psi
\rightarrow\gamma\chi_,\rightarrow\gamma\chi_
cj,cj
\rightarrow\gamma\bar,\rightarrow\gamma\bar
p,p
k^,k^
\lambda+c.c.,\lambda+c.c.
and,and
\psi,\psi
\rightarrow\bar,\rightarrow\bar
p,p
k^,k^
\lambda+c.c.,\lambda+c.c.
search,search
for,for
the,the
rare,rare
decay,decay
\eta'\rightarrow\pi^,\eta'\rightarrow\pi^
\pi^,\pi^
\pi^,\pi^
\pi^,\pi^
at,at
besiii,besiii
evid,evidence
for,for
the,the
decay,decays
of,of
and,and
search,search
for,for
the,the
rare,rare
decay,decay
b^,b^
\rightarrow,\rightarrow
\mu,\mu
\mu,\mu
\mu,\mu
\nu,\nu
\mu,\mu
evid,evidence
for,for
the,the
decay,decays
of,of
\begin,\begin
document,document
\lambda^+_,\lambda^+_
c,c
\to\sigma^+\eta,\to\sigma^+\eta
\end,\end
document,document
and,and
\begin,\begin
document,document
\sigma^+\eta^\prim,\sigma^+\eta^\prime
\end,\end
document,document
evid,evidence
for,for
the,the
decay,decays
of,of
\lambda^+_,\lambda^+_
c,c
\to\sigma^+\eta,\to\sigma^+\eta
and,and
\sigma^+\eta^\prim,\sigma^+\eta^\prime
evid,evidence
for,for
the,the
decay,decays
of,of
lambda,lambda
c,c
sigma,sigma
eta,eta
and,and
sigma,sigma
eta,eta
evid,evidence
for,for
the,the
decay,decays
of,of
lambda,lambda
c,c
sigma^+eta,sigma^+eta
and,and
sigma,sigma
+eta^,+eta^
observ,observation
of,of
\psi,\psi
\rightarrow\xi,\rightarrow\xi
\bar\xi,\bar\xi
and,and
\xi,\xi
\bar\xi^,\bar\xi^
observ,observation
of,of
\psi,\psi
\rightarrow\xi,\rightarrow\xi
\bar\xi,\bar\xi
and,and
\xi,\xi
\bar\xi^,\bar\xi^
measur,measurement
of,of
cp,cp
violat,violation
in,in
the,the
b,b
_s^0\to,_s^0\to
\phi,\phi
\phi,\phi
decay,decay
and,and
search,search
for,for
the,the
b^0\rightarrow,b^0\rightarrow
\phi\phi,\phi\phi
decay,decay
measur,measurements
of,of
the,the
branch,branching
fraction,fractions
of,of
ηc→k+k−π0,ηc→k+k−π0
ks0k±π∓,ks0k±π∓
and,and
pp¯,pp¯
cross,cross
section,section
measur,measurements
of,of
e^,e^
e^,e^
\to,\to
k^,k^
k^,k^
k^,k^
k^,k^
and,and
\phi,\phi
k^,k^
k^,k^
at,at
center-of-mass,center-of-mass
energi,energies
from,from
to,to
gev,gev
near-threshold,near-threshold
dd¯¯¯¯,dd¯¯¯¯
spectroscopi,spectroscopy
and,and
observ,observation
of,of
a,a
new,new
charmonium,charmonium
state,state
observ,observation
of,of
the,the
\lambda_b^0\rightarrow,\lambda_b^0\rightarrow
\chi_,\chi_
c1,c1
pk^-,pk^-
decay,decay
observ,observation
of,of
→p,→p
p,p
search,search
for,for
the,the
decay,decay
\eta'\to\gamma\gamma\eta,\eta'\to\gamma\gamma\eta
precis,precision
measur,measurement
of,of
the,the
\lambda_c^+,\lambda_c^+
\xi_c^+,\xi_c^+
and,and
\xi_c^0,\xi_c^0
baryon,baryon
lifetim,lifetimes
observ,observation
and,and
studi,study
of,of
the,the
decay,decay
j/ψ→ϕηη′,j/ψ→ϕηη′
studi,study
of,of
e^,e^
e^,e^
→γωj/ψ,→γωj/ψ
and,and
observ,observation
of,of
x,x
→ωj/ψ,→ωj/ψ
studi,study
of,of
the,the
decay,decays
ds+→ks0k+,ds+→ks0k+
and,and
kl0k+,kl0k+
amplitud,amplitude
analysi,analysis
of,of
b^\pm,b^\pm
\to,\to
\pi^\pm,\pi^\pm
k^+,k^+
k^-,k^-
decay,decays
evid,evidence
for,for
z_,z_
c,c
\pm,\pm
decay,decays
into,into
the,the
\rho^,\rho^
\pm,\pm
\eta_,\eta_
c,c
final,final
state,state
measur,measurement
of,of
branch,branching
fraction,fractions
of,of
\psi,\psi
\rightarrow\phi\eta^\prim,\rightarrow\phi\eta^\prime
\phi,\phi
f_1,f_1
and,and
\phi,\phi
\eta,\eta
studi,study
of,of
e^+e^-,e^+e^-
\to,\to
\pi^+,\pi^+
\pi^-,\pi^-
\pi^0,\pi^0
\eta_c,\eta_c
and,and
evid,evidence
for,for
z_c,z_c
^\pm,^\pm
decay,decaying
into,into
\rho^\pm,\rho^\pm
\eta_c,\eta_c
measur,measurement
of,of
the,the
branch,branching
fraction,fraction
and,and
c\,c\
p,p
asymmetri,asymmetry
in,in
b^,b^
\rightarrow,\rightarrow
j/\psi,j/\psi
\rho^,\rho^
decay,decays
search,search
for,for
the,the
lepton-flavour-viol,lepton-flavour-violating
decay,decays
b^,b^
s,s
\to\tau^,\to\tau^
\pm,\pm
\mu^,\mu^
\mp,\mp
and,and
b^,b^
\to\tau^,\to\tau^
\pm,\pm
\mu^,\mu^
\mp,\mp
springer,springer
amplitud,amplitude
analysi,analysis
of,of
the,the
b^0_,b^0_
s,s
\to,\to
k^,k^
\overlin,\overline
k,k
decay,decays
and,and
measur,measurement
of,of
the,the
branch,branching
fraction,fraction
of,of
the,the
b^0,b^0
\to,\to
k^,k^
\overlin,\overline
k,k
decay,decay
cross,cross
section,section
measur,measurements
of,of
e,e
e,e
c,c
from,from
s,s
to,to
gev,gev
arxiv,arxiv
measur,measurement
of,of
cp,cp
-violat,-violating
and,and
mixing-induc,mixing-induced
observ,observables
in,in
b_s^0,b_s^0
\to,\to
\phi\gamma,\phi\gamma
decay,decays
search,search
for,for
lepton-univers,lepton-universality
violat,violation
in,in
b,b
→k,→k
decay,decays
observ,observation
of,of
the,the
w,w
-annihil,-annihilation
decay,decay
ds+,ds+
and,and
evid,evidence
for,for
ds+,ds+
→ωk+,→ωk+
measur,measurements
of,of
weak,weak
decay,decay
asymmetri,asymmetries
of,of
c,c
→p,→p
k,k
s,s
and,and
arxiv,arxiv
a,a
search,search
for,for
\it,\it
\xi,\xi
cc,cc
\rightarrow,\rightarrow
d^,d^
p,p
k^,k^
\pi^,\pi^
